longyearbyen,26.6
asau,37.4
hartselle,32
komsomolskiy,37.4
kapaa,71.6
cape town,70.15
damme,30.2
taolanaro,75.2
georgetown,75.2
rikitea,75.59
karaul,70.15
punta arenas,41
kendari,84.14
aykhal,-43.08
meyungs,86
ushuaia,39.2
biak,86.48
bolungarvik,39.19
temple,35.6
narsaq,6.8
tuktoyaktuk,17.6
sisimiut,-10.36
cabedelo,75.2
luderitz,60.8
illoqqortoormiut,42.8
eirunepe,74.11
qaanaaq,-5.59
puerto escondido,82.03
belogradcik,27.76
quatre cocos,82.4
palauig,85.72
praya,89.6
sechura,69.61
atuona,80.14
port hedland,102.2
mys shmidta,86
la cruz,59.21
bredasdorp,68
vaini,80.6
bathsheba,78.8
avarua,80.6
chapais,6.8
juneau,26.6
busselton,72.04
palana,12.23
tromso,14
ponta do sol,62.6
hobart,64.4
prigorodka,28.4
hilo,69.8
yellowknife,12.2
albany,24.8
chuy,72.49
songkhla,86
dikson,7.06
saint simons,57.2
port-gentil,75.2
katsuura,50
sao raimundo das mangabeiras,69.25
puerto ayora,73.66
provideniya,25.24
saint-philippe,86
palmares do sul,32
port alfred,71.18
isangel,80.5
kousseri,60.8
belushya guba,-19.95
olafsvik,42.56
namibe,71.95
jamestown,21.2
hami,21.64
kihei,71.6
egvekinot,-5.41
kirakira,83.29
torbay,32
belaya gora,-49.02
east london,68
nome,28.4
goderich,15.8
palabuhanratu,81.31
bluff,54.58
yukhnov,28.16
uren,3.14
mbandaka,73.88
hithadhoo,80.32
praia da vitoria,55.4
salalah,75.2
mataura,53.6
ketchikan,30.2
cedar city,37.4
khuzhir,16.96
doctor pedro p. pena,84.2
cherskiy,-22.24
tautira,84.2
kodiak,75.2
newport,32
punta cardon,76.9
geraldton,77
qaqortoq,6.8
butaritari,82.88
mahebourg,82.4
kisangani,83.06
shar,25.33
sorvag,19.4
san juan,68
leningradskiy,-9.87
prescott,46.4
ewa beach,71.6
amapa,78.8
mar del plata,59
hutang,48.2
santa cruz del sur,68.44
tuyen quang,65.96
fairbanks,17.6
inhambane,79.24
chokurdakh,-41.91
kenitra,46.4
lebu,59.8
cockburn town,78.79
lavrentiya,19.3
tsihombe,81.71
ginda,63.89
leh,2.24
berezovyy,-2.26
xiuyan,31.9
kayfan,51.8
businga,76.31
uzhur,29.78
shunyi,37.4
rocha,67.99
cidreira,72.4
muyezerskiy,2.06
attawapiskat,5.89
hasaki,48.2
khromtau,15.74
filimonovo,30.59
acapulco,78.8
khatanga,-51.63
upernavik,4.36
saint george,46.4
dingle,80.36
iwanai,28.93
codrington,68.53
bethel,35.6
karauzyak,33.8
airai,60.07
lata,46.43
fortuna,32
nizhneyansk,5
grimshaw,26.6
chara,1.75
marsh harbour,72.76
thayetmyo,80.5
sumy,29.74
jieshou,46.21
araouane,40.99
salisbury,26.6
hanna,2.24
korla,24.83
tuatapere,54.58
fontenay-le-comte,35.6
samusu,23.62
marrakesh,42.8
kamenka,27.44
norman wells,10.4
sataua,-2.21
amderma,-32.46
villiers,62.36
ostrovnoy,3.86
george,68
artyk,-1.86
tumannyy,4.63
khani,52.69
castro,67.18
yarmouth,39.2
kamaishi,35.6
disna,22.94
coahuayana,74.74
arraial do cabo,77.35
aldan,4.63
walvis bay,64.4
clyde river,-25.61
mizdah,31.9
saint-francois,33.8
high rock,73.61
killybegs,37.84
rodrigues alves,75.2
sri aman,89.6
el dorado,30.2
vestmanna,39.2
hermanus,68.66
lorengau,82.88
portland,28.4
antofagasta,66.2
pitanga,68.08
amga,-13.2
marcona,65.96
skjervoy,26.6
viedma,56.83
samarai,83.47
ilhabela,83.69
tabou,82.61
huainan,49.27
esperance,102.41
victoria,33.8
waingapu,90.22
tiznit,27.89
ilulissat,12.2
oruro,43.06
san quintin,45.04
faya,65.38
ambilobe,79.64
suntar,-19.5
dalbandin,61.19
antiguo morelos,67.76
east bethel,1.4
taksimo,-10.95
faanui,80.86
sur,75.46
mamou,55.03
axim,82.21
kiama,77
iqaluit,5
kavieng,85.81
bodden town,78.61
aporawan,87.8
santa isabel do rio negro,73.21
hualmay,61.91
umzimvubu,61.06
basoko,77.08
tuggurt,41
padang,79.73
koungou,84.2
kambove,65.83
general roca,62.6
la ronge,1.4
flin flon,-11.13
okhotsk,-17.97
voh,78.56
labuhan,81.26
carnarvon,80.54
smithers,3.2
jomalig,80.81
bokspits,71.6
roald,28.4
deep river,14
husavik,42.8
tasiilaq,25.24
nouadhibou,61.73
bandundu,72.49
nanortalik,25.42
avera,50
wuchang,7.28
kaeo,72.89
sao raimundo nonato,74.74
umea,-7.61
barrow,24.8
doha,64.4
hofn,42.97
alugan,80.86
touros,76.58
vanimo,82.93
naze,66.2
muroto,51.8
inirida,72.89
bambous virieux,82.4
la reforma,66.2
san patricio,64.3
xai-xai,77.62
brae,32
bud,19.4
port macquarie,78.8
berlevag,17.99
hay river,10.4
cam ranh,75.46
sao joao da barra,76.49
severo-kurilsk,29.11
new norfolk,64.4
bilibino,-42.27
haines junction,-4.87
lasa,19.4
bandarbeyla,76
astana,28.4
huarmey,60.52
tiksi,-49.38
saskylakh,-60.36
meulaboh,76
bukama,73.16
nikolskoye,-5.81
congonhas,65.92
katha,63.71
sao jose da coroa grande,75.46
sharanga,7.01
bambanglipuro,80.54
okha,-5.32
kotido,72.49
oleksandrivka,28.57
klaebu,21.2
rancho palos verdes,57.2
richards bay,69.7
hyvinkaa,-0.41
gumrak,30.2
kruisfontein,72.22
mecca,68
pangnirtung,1.4
gornopravdinsk,-25.57
ponta delgada,60.8
griffith,17.6
baykit,-5.59
mitsamiouli,84.2
sumedang,77.08
dunedin,56.06
dankov,29.24
santa maria da vitoria,68.35
port said,50
wladyslawowo,24.8
vorobyevka,30.23
benicarlo,54.13
matadi,76.13
thompson,-13.01
constitucion,60.43
agua prieta,46.4
teguise,61.01
liverpool,77
bonthe,78.97
yelanskiy,-6.49
borba,75.68
caravelas,80.18
sao filipe,75.01
muisne,73.61
yaan,53.63
souillac,82.4
guerrero negro,54.67
turayf,33.8
vietri sul mare,44.6
semirom,39.64
grand river south east,82.4
sitka,50
kasempa,65.69
priiskovyy,4.27
gerash,57.2
bubaque,73.88
hambantota,80.81
la asuncion,77.35
auki,81.08
severo-yeniseyskiy,20.06
ribeira grande,60.43
urumqi,8.6
vila velha,77
port hardy,24.8
abu samrah,38.96
malakal,78.83
mayo,37.4
ikryanoye,24.8
garissa,80.86
kyzyl-suu,22.45
san jeronimo,39.1
moron,66.2
minamata,53.6
kaitangata,57.01
ahipara,67.04
ambon,84.2
pevek,-25.21
comodoro rivadavia,46.4
zlatoustovsk,-10.32
lebowakgomo,59
konya,6.8
broome,86
pisco,68
kenner,51.8
camacha,62.6
deputatskiy,-39.66
sept-iles,26.6
keetmanshoop,73.4
seymchan,-46.5
coihaique,39.2
tungor,-5.32
el balyana,62.09
ban nahin,83.38
ranong,81.08
udachnyy,-44.74
nachingwea,79.15
tianpeng,55.4
bestobe,25.42
thinadhoo,81.44
beira,80.6
ngunguru,66.68
hamilton,19.4
los llanos de aridane,69.8
baiyin,41
esmeraldas,69.8
cayenne,78.8
barranca,64.93
annaka,33.07
tarabuco,48.64
bairiki,56.33
wanning,75.91
darhan,15.7
sentyabrskiy,-25.57
dire dawa,62.68
boyolangu,83.78
san bartolome de tirajana,60.8
lichuan,51.52
chiang klang,68
boralday,28.4
kahului,71.6
marsabit,79.78
beringovskiy,10.93
labuan,79.64
odweyne,57.01
ancud,44.14
saint-augustin,36.44
nguiu,68.84
igarka,-33.09
shimoda,51.8
havoysund,24.8
monduli,55.4
anchorage,8.6
adrar,37.4
lompoc,60.8
iracoubo,74.74
kavaratti,84.1
cabo san lucas,68
batagay,-44.34
naliya,73.57
karratha,113.66
laguna,48.2
port elizabeth,69.8
mehamn,22.49
san-pedro,76.31
mayumba,76.18
rosarito,57.2
turkmenabat,35.6
kununurra,89.6
saleaula,78.8
eyl,74.33
awjilah,75.2
ahuimanu,71.6
sorland,23
adwa,23
itahari,67.9
muros,50
arlit,44.05
sezze,42.8
senanga,68.26
botngard,21.2
ngukurr,95.89
karkaralinsk,24.52
anadyr,1.4
kuche,66.2
chagda,78.8
altamira,74.74
nuuk,11.29
krasnoselkup,-38.17
aden,76.36
san rafael,56.65
morti,-0.41
te anau,56.11
nalvo,83.74
aflu,35.99
zachagansk,14
pangai,82.4
krasnyy chikoy,14.62
santa isabel,75.2
cabrera,79.06
swift current,-0.41
buraydah,46.4
omsukchan,-49.65
jacareacanga,74.65
rolim de moura,71.41
new ulm,-0.41
mackay,80.6
curup,77.62
dwarka,73.3
ila,57.59
alexandria,42.8
vostok,5.84
neepawa,-9.41
gaya,68
praia,73.4
byron bay,80.6
saldanha,64.4
flinders,77
ishigaki,77
talnakh,-46.72
havre-saint-pierre,33.8
kindu,75.14
kabansk,-5.81
kudahuvadhoo,80.63
hope,32.35
lolua,-0.41
vila franca do campo,60.8
annau,39.2
aybak,37.4
santa cruz,82.4
tucurui,73.66
listowel,42.8
elliot,59.8
brownsville,64.4
nantucket,41
lvov,28.4
pochutla,73.4
port blair,78.97
tyumentsevo,30.1
kamenskoye,32
eydhafushi,79.96
belmonte,73.4
port hawkesbury,37.4
castrillon,50
milkovo,19.4
santa maria,74.29
mahanoro,73.43
susehri,18.53
sao miguel do araguaia,71.63
bilma,43.73
alamor,62.81
lagoa,59.84
nemuro,21.2
jinchang,27.71
lupiro,78.34
elbistan,17.63
savonlinna,-2.21
lidorikion,46.3
louisbourg,32
yeppoon,78.8
pacajus,80.6
umm durman,33.8
aklavik,14
tongliao,25.96
abha,55.4
zhumadian,43.91
kirovskiy,8.32
prince albert,-0.41
knysna,68
grand forks,-14.81
vyartsilya,-3.12
saint-jerome,24.8
templin,28.4
cheuskiny,-38.21
buala,82.48
borovskoy,16.73
hobyo,78.38
sao felix do xingu,71.18
cumra,6.8
novobiryusinskiy,31.94
yulara,100.4
shakawe,66.1
oran,41
lukovetskiy,-38.21
bengkulu,79.6
mataram,89.6
sangar,-24.04
oxford,32
nanakuli,71.6
taylor,19.4
saurimo,70.06
erenhot,33.16
puerto baquerizo moreno,74.74
karaton,87.8
champerico,71.09
luena,66.91
fria,65.06
buchanan,73.4
ust-ishim,1.39
calcutta,21.2
andros town,70.19
hovd,18.13
farafangana,78.29
santiago,68
kabare,66.23
cabatuan,80.36
verkhniye sergi,7.28
kuandian,32.66
pacific grove,57.2
taoudenni,35.99
rio gallegos,44.6
oshikango,69.34
porbandar,74.47
aruppukkottai,82.4
malwan,80.32
konstantinovka,8.09
juegang,47.83
gizo,84.91
bargal,71.6
angoram,80.6
skalistyy,7.6
birjand,33.8
aguimes,60.8
petropavlovsk-kamchatskiy,26.6
birsk,5.66
dzaoudzi,84.2
melton,89.6
klaksvik,39.2
northam,28.21
crab hill,79.51
alekseyevsk,28.4
rumoi,23.39
shebunino,24.07
prabumulih,81.76
karpogory,-21.84
strelka,29.29
turan,78.8
chiredzi,74.56
torbat-e jam,37.3
khormuj,59
uncia,40.63
morehead,28.4
manuel doblado,57.2
sabancuy,78.16
lampazos de naranjo,43.01
pokrovsk,-12.57
mrirt,26.09
wailuku,73.4
brignoles,42.8
beloha,82.75
debre tabor,59.17
